codice_cliente,lit_mode_r100,lit_pct_yes_r100,lit_pct_no_r100,lit_pct_sunset_sunrise_r100,lit_pct_automatic_r100,lit_pct_missing_r100,lit_n_edges_r100,lit_mode_r300,lit_pct_yes_r300,lit_pct_no_r300,lit_pct_sunset_sunrise_r300,lit_pct_automatic_r300,lit_pct_missing_r300,lit_n_edges_r300,lit_mode_r500,lit_pct_yes_r500,lit_pct_no_r500,lit_pct_sunset_sunrise_r500,lit_pct_automatic_r500,lit_pct_missing_r500,lit_n_edges_r500
9951,yes,0.5405405405405406,0.0,0.0,0.0,0.4594594594594595,37,yes,0.4854014598540146,0.0,0.0,0.0,0.5145985401459854,274,yes,0.5335689045936396,0.0,0.0,0.0,0.4664310954063604,566
9953,unknown,,,,,1.0,14,unknown,,,,,1.0,80,unknown,,,,,1.0,88
9959,unknown,,,,,1.0,8,unknown,,,,,1.0,25,unknown,,,,,1.0,29
9960,yes,0.3125,0.020833333333333332,0.0,0.0,0.6666666666666666,48,yes,0.33643122676579923,0.10408921933085502,0.0,0.0,0.5594795539033457,538,yes,0.2524127691165553,0.08314773570898293,0.0,0.0,0.6644394951744618,1347
9961,yes,0.8142857142857143,0.0,0.0,0.0,0.18571428571428572,70,yes,0.7854330708661418,0.0,0.0,0.0,0.21456692913385828,508,yes,0.6795952782462057,0.01011804384485666,0.0,0.0,0.3102866779089376,1186
9963,yes,0.31746031746031744,0.0,0.0,0.0,0.6825396825396826,63,yes,0.23026315789473684,0.003289473684210526,0.0,0.0,0.7664473684210527,608,yes,0.1696927374301676,0.002094972067039106,0.0,0.0,0.8282122905027933,1432
9967,unknown,,,,,1.0,24,yes,0.020833333333333332,0.0,0.0,0.0,0.9791666666666666,192,yes,0.009708737864077669,0.0,0.0,0.0,0.9902912621359223,412
9969,unknown,,,,,1.0,17,unknown,,,,,1.0,93,yes,0.004975124378109453,0.0,0.0,0.0,0.9950248756218906,201
9972,yes,0.1,0.0,0.0,0.0,0.9,10,yes,0.2962962962962963,0.0,0.0,0.0,0.7037037037037037,162,yes,0.3148614609571788,0.012594458438287154,0.0,0.0,0.672544080604534,397
9973,unknown,,,,,1.0,14,unknown,,,,,1.0,48,unknown,,,,,1.0,85
9974,yes,0.2786885245901639,0.0,0.0,0.0,0.7213114754098361,61,yes,0.14657210401891252,0.014184397163120567,0.0,0.0,0.8392434988179669,423,yes,0.10640495867768596,0.008264462809917356,0.0,0.0,0.8853305785123967,968
